,id_discente,sexo,data_nascimento,raca,estado_origem,cidade_origem,estado,municipio,bairro,nivel_ensino,forma_ingresso,ano_ingresso,periodo_ingresso,cotista,id_curso,Unnamed: 10
7044,ea18bf31bb8dfce225f59c05f81a41e3,M,17_02_1997,NEGRO,RIO_GRANDE_DO_NORTE,MOSSORO,RIO_GRANDE_DO_NORTE,NATAL,NEOPOLIS,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7056,5242c05251813a59548467328ce0d335,M,07_07_1997,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,EMAUS,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7068,40d6eb384c524c0ce12349fa81c29257,M,03_03_1997,NAO_INFORMADO,NAO_INFORMADO,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,TIROL,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7079,e22deea3b80f9f8e63dd256ba06a8831,M,27_04_1996,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,CAPIM_MACIO,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7121,90dc160e68fd9a2b10d14af791aa4377,M,22_01_1997,BRANCO,NAO_INFORMADO,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,PONTA_NEGRA,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7164,981f0362a343d04121314aa4a422c161,M,08_05_1992,BRANCO,PERNAMBUCO,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7205,294a3290746f975c30553b672cb40cdd,M,30_11_1992,BRANCO,NAN,ALGARVEA,RIO_GRANDE_DO_NORTE,NATAL,NAN,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7234,ec5e51b4607323f4496b70d8272de235,M,29_03_1997,PARDO,NAO_INFORMADO,NATAL,NAN,NAN,NAN,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7246,b433ff4854fc0247521a8d85ac933932,M,09_06_1997,NAO_INFORMADO,NAO_INFORMADO,NATAL,RIO_GRANDE_DO_NORTE,SAO_GONCALO_DO_AMARANTE,SANTO_ANTONIO,GRADUACAO,SISU,2015,2.0,T,92127264.0,NAN
7270,5ae28cd41b501ff35073a13dd1370d64,M,17_10_1996,PARDO,RIO_GRANDE_DO_NORTE,PARNAMIRIM,RIO_GRANDE_DO_NORTE,PARNAMIRIM,JARDIM_PLANALTO,GRADUACAO,SISU,2015,2.0,T,92127264.0,NAN
7282,4ee7e28e07a6e3751a3c3c7ddde7e90d,M,10_01_1992,BRANCO,NAN,NEUQUEN,RIO_GRANDE_DO_NORTE,NATAL,CANDELARIA,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7292,fa0366ee9930798042fc769c00c9cdb7,M,25_07_1987,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NOVA_ESPERANCA,GRADUACAO,SISU,2015,2.0,T,92127264.0,NAN
7350,726fb2164f8230c8d42ac37c3f966ff1,M,07_03_1997,PARDO,RIO_GRANDE_DO_NORTE,MOSSORO,RIO_GRANDE_DO_NORTE,NATAL,ALTO_DA_CONCEICAO,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7362,6ba18d1e05888a4a618cc40de768e353,M,24_09_1991,PARDO,RIO_GRANDE_DO_NORTE,TIBAU_DO_SUL,RIO_GRANDE_DO_NORTE,TIBAU_DO_SUL,BELA_VISTA,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7374,4502ef9166c14d7469243abd3dc0f70d,M,24_09_1997,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PASSAGEM_DE_AREIA,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7386,36e2211c6c16fa38f1e7fef99b10d22f,M,23_02_1996,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NOVA_PARNAMIRIM,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7397,254ceb2461f616e3cf107788af88a348,M,27_08_1997,BRANCO,PARAIBA,GUARABIRA,RIO_GRANDE_DO_NORTE,ASSU,CENTRO,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7420,54d1c4d0930e630b849e36fbbb2d2390,F,14_09_1997,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PONTA_NEGRA,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7449,46c6360b365290a1404a5c8ffd59f9e1,F,10_01_1991,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,POTENGI,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7476,317b235fb6a380d0c0f009eab98b75a1,M,25_05_1996,PARDO,NAO_INFORMADO,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_AZUL,GRADUACAO,SISU,2015,2.0,T,92127264.0,NAN
7488,114537ce7c2e383762ba7b3a72b2a042,M,09_10_1996,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,CEARA___MIRIM,CENTRO,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7500,4e6ba21f267f58a5673ed53b55ce4093,M,01_09_1993,PARDO,SERGIPE,ARACAJU,RIO_GRANDE_DO_NORTE,NATAL,NOSSA_SENHORA_DE_NAZARE,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7510,cc98fbab3c297d4cf44db9f59c571374,M,04_08_1993,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,CEARA___MIRIM,RIO_GRANDE_DO_NORTE,CEARA___MIRIM,CENTRO,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7522,05961a2da16bb50207b1c3df6a9a6382,M,29_01_1993,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,TIROL,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7563,52df7a26e3059a52241366146b904b01,F,08_08_1993,BRANCO,RIO_GRANDE_DO_NORTE,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NISIA_FLORESTA,CENTRO,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7587,2e76987f8d1ad80d26cfb6d1b5bde22f,M,25_03_1993,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PITIMBU,GRADUACAO,SISU,2015,2.0,T,92127264.0,NAN
7599,057fdfe31ce7ff67e6de782fd459a5e7,F,11_08_1996,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,MONTE_ALEGRE,CENTRO,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7634,da026a8c8f3487ecdc037844ea4689b0,M,11_10_1997,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PAJUCARA,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7671,80bba1afdcbe8e69bb840181d41388a1,M,23_08_1993,BRANCO,RIO_GRANDE_DO_NORTE,CEARA_MIRIM,RIO_GRANDE_DO_NORTE,NATAL,NEOPOLIS,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7686,daee292530a6b180685cd6cfd22c6496,M,13_12_1996,NEGRO,NAO_INFORMADO,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,PRAIA_DO_MEIO,GRADUACAO,SISU,2015,2.0,T,92127264.0,NAN
7738,fd67ce939432d220dc3ab6030c9b349f,F,20_02_1995,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PAJUCARA,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7800,955ba10f8916207996e764ffcb355b02,M,26_05_1992,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,MACAIBA,MANGABEIRA,GRADUACAO,SISU,2015,2.0,T,92127264.0,NAN
7857,24639ba86aa8be3527cfd77ff6d44994,M,13_07_1997,NAO_INFORMADO,NAO_INFORMADO,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NAN,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7868,933ee3520c93c46b4aa33282a87d4fa4,M,04_12_1992,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7921,03f682cb34ca1cd1bc10df04d8d2978f,F,14_02_1996,NEGRO,CEARA,FORTALEZA,PERNAMBUCO,RECIFE,BOA_VIAGEM,GRADUACAO,SISU,2015,2.0,T,92127264.0,NAN
7936,7629912c85dc9e2141fe596538cf2c02,M,08_01_1998,PARDO,NAO_INFORMADO,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7955,7ae8cbf93b9997bb46729aa23898bb4b,F,12_03_1997,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,SANTO_ANTONIO,RIO_GRANDE_DO_NORTE,LAGOA_SALGADA,LAGOA_SALGADA,GRADUACAO,SISU,2015,2.0,T,92127264.0,NAN
7967,3dcb457caef136647269b2a02ee21b29,M,23_07_1994,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
7985,f9050ce6ad26787023581e2cc346e703,M,13_10_1994,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,CAPIM_MACIO,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
8026,ea02749010f507f3e6b03a52b1ca9d4c,F,21_06_1996,PARDO,RIO_GRANDE_DO_NORTE,NATAL,NAN,NAN,NAN,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
8038,aa00f9c2f38e7757521cf0d96b480b90,M,26_07_1995,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,CANDELARIA,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
8078,9c57bdb46f6361e82f72a395800fc231,M,04_05_1995,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,FELIPE_CAMARAO,GRADUACAO,SISU,2015,2.0,T,92127264.0,NAN
8090,c489d858cf4a29692b4abcc492756c08,M,13_04_1996,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,PARNAMIRIM,ROSA_DOS_VENTOS,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
8114,1ea6bf7d93eef7b8078104dff5d4987b,M,16_06_1998,PARDO,NAO_INFORMADO,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,SOLEDADE_1,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
8145,6e937627849c1ee4ee610426a859caab,M,21_05_1990,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PONTA_NEGRA,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
8201,c6d91f6faa21bd207733d05e491aa0e1,M,29_05_1998,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,CAPIM_MACIO,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
8225,bf3c0e6ae00be7d19d517863d1136efb,M,24_05_1987,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,POTENGI,GRADUACAO,SISU,2015,2.0,T,92127264.0,NAN
8255,f8fbf27b209754521cdbc40840a5a8c3,M,29_10_1997,NAO_INFORMADO,PERNAMBUCO,RECIFE,RIO_GRANDE_DO_NORTE,NATAL,CAPIM_MACIO,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
8286,3fca4ed1d677f18128430e1d5dd87147,M,05_02_1995,PARDO,NAO_INFORMADO,NATAL,RIO_GRANDE_DO_NORTE,MACAU,DIOGO_LOPES,GRADUACAO,SISU,2015,2.0,T,92127264.0,NAN
8313,ac620fb39d8330e64c0370054567b312,M,15_08_1988,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,CANDELARIA,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
8349,713d1e23e527993346b137af29994241,M,26_07_1995,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,MINAS_GERAIS,BELO_HORIZONTE,NAN,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
8396,6979f555ed7b878d55f9cd3fa4e5c032,M,14_12_1995,PARDO,NAO_INFORMADO,EXTREMOZ,RIO_GRANDE_DO_NORTE,EXTREMOZ,PRAIA_DE_BARRA_DO_RIO,GRADUACAO,SISU,2015,2.0,T,92127264.0,NAN
8411,abba494a3f964a7fe18164c54b70c90c,M,31_10_1994,BRANCO,AMAZONAS,MANAUS,RIO_GRANDE_DO_NORTE,NATAL,CANDELARIA,GRADUACAO,SISU,2015,2.0,T,92127264.0,NAN
8441,80f9d9e023fb9a2d30a678e02184bd23,M,13_06_1994,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PAJUCARA,GRADUACAO,SISU,2015,2.0,T,92127264.0,NAN
8452,7ffed3cce977997857468cc7bc885e62,F,05_04_1996,PARDO,NAO_INFORMADO,NATAL,NAN,NAN,NAN,GRADUACAO,SISU,2015,2.0,T,92127264.0,NAN
8464,718c4749fa8d43b1699d7c444df77ad9,M,05_07_1993,PARDO,RIO_GRANDE_DO_NORTE,MONTE_ALEGRE,RIO_GRANDE_DO_NORTE,NATAL,CAPIM_MACIO,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
8496,b0f86d842b61525819f34d4d9a1c5dd9,M,27_07_1995,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,EXTREMOZ,CENTRAL_PARQUE_II,GRADUACAO,SISU,2015,2.0,T,92127264.0,NAN
8508,9fe6433f39109d1e42a84b9ac780c4fc,M,24_04_1997,BRANCO,NAO_INFORMADO,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NAN,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
8532,8b0ee1674165ac3ef13b54e65698c0fe,M,29_01_1998,NEGRO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,POTENGI,GRADUACAO,SISU,2015,2.0,T,92127264.0,NAN
8544,4fd6a063993d07c7d11474faed256e52,M,16_12_1997,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PONTA_NEGRA,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
8596,9dbf21795736ba4eaaa2f6932b76cbcf,M,16_03_1994,PARDO,PARANA,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,PARNAMIRIM,BOA_ESPERANCA,GRADUACAO,SISU,2015,2.0,F,92127264.0,NAN
8608,fb144904845e9bf1305e59854eea140a,M,21_06_1995,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_AZUL,GRADUACAO,SISU,2015,2.0,T,92127264.0,NAN
8635,b3fb23e81fbfd6af258ff3e998ff6fdc,M,19_12_1972,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PAJUCARA,GRADUACAO,SISU,2015,2.0,T,92127264.0,NAN
8662,c67b909fd2d5f5181bc031915f7d6554,F,30_12_1990,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_NOVA,GRADUACAO,TRANSF._COMPULSORIA,2015,2.0,F,92127264.0,NAN
8672,882b1f91339374b8c05d0dde314844bb,F,06_09_1988,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,CANDELARIA,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2.0,F,92127264.0,NAN
8689,ca69b87b9e96e1432c90759482ccc08e,F,30_05_1989,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,DIX_SEPT_ROSADO,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2.0,F,92127264.0,NAN
8700,8f05e8b42b1b78495761199759d2a6a5,M,14_02_1990,NAO_INFORMADO,PERNAMBUCO,RECIFE,RIO_GRANDE_DO_NORTE,NATAL,PONTA_NEGRA,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2.0,F,92127264.0,NAN
8707,823c04f19b91bd6be7587b40ce160223,M,18_05_1992,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_NOVA,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2.0,F,92127264.0,NAN
8722,3d31284757c88aab09cda5503445c123,F,15_10_1992,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PITIMBU,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2.0,F,92127264.0,NAN
8737,b9d78b8844b65d48bbe2a0132df6b529,F,09_08_1995,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,SAO_GONCALO_DO_AMARANTE,REGO_MOLEIRO_III,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2.0,F,92127264.0,NAN
8748,8617548982a251170019500fbe5ebea9,M,30_10_1979,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,QUINTAS,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2.0,F,92127264.0,NAN
8760,5e00d1e6f59bcd87426d99fd4204d107,F,11_05_1992,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NAN,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2.0,F,92127264.0,NAN
8771,982e1cd4eb21c2ae5483596c92e02a95,M,16_08_1997,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,LAGOA_DANTA,CENTRO,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2.0,F,92127264.0,NAN
8783,97fe348def50c5c3375b5167701c7202,F,07_10_1996,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_ESPERANCA,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2.0,F,92127264.0,NAN
8795,130fa18e7cbe30c714f98937cf94abab,M,15_08_1994,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,NAN,NAN,NAN,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2.0,F,92127264.0,NAN
8807,69b640cae50edc4b348f31f601e2bd3f,M,26_02_1990,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,SAO_GONCALO_DO_AMARANTE,GOLANDIM,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2.0,F,92127264.0,NAN
8819,49e244d659ef8254b2a6015b3b15936e,M,23_01_1989,PARDO,CEARA,ARACATI,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2.0,F,92127264.0,NAN
8830,35a41fdcd22b22af9e0ac8a565a8246a,M,26_07_1987,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,FELIPE_CAMARAO,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2.0,F,92127264.0,NAN
8842,631223ebc95c49b6bbc8aacf2119f931,M,08_10_1977,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PAJUCARA,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2.0,F,92127264.0,NAN
8854,eddf85f8de16759001056bee8d4bf32b,M,22_09_1992,BRANCO,RIO_GRANDE_DO_NORTE,SANTA_CRUZ,RIO_GRANDE_DO_NORTE,SANTA_CRUZ,PARAIZO,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2.0,F,92127264.0,NAN
8877,29c131e1fa5dc358c33cf9868d079ca1,M,25_03_1988,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,POTENGI,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2.0,F,92127264.0,NAN
8889,1f099e921bfb020536f9b11bdc2d5f52,M,18_11_1984,PARDO,RIO_GRANDE_DO_NORTE,SANTO_ANTONIO,RIO_GRANDE_DO_NORTE,SANTO_ANTONIO,CENTRO,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2.0,F,92127264.0,NAN
8901,edd7f9f8daa51ac6f4b967368277c8f1,M,10_09_1993,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,BARRO_VERMELHO,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2.0,F,92127264.0,NAN
8912,167735b0595253fe5cb241a54e0f8b1b,F,24_07_1992,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NAN,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2.0,F,92127264.0,NAN
