id_discente,sexo,data_nascimento,raca,estado_origem,cidade_origem,estado,municipio,bairro,nivel_ensino,forma_ingresso,ano_ingresso,periodo_ingresso,cotista,id_turma,id_curso,unidade,nota,reposicao,media_final,numero_total_faltas,descricao,ano,periodo,renda,escola_ens_medio,possui_bolsa_pesquisa,possui_auxilio_alimentacao,possui_auxilio_transporte,possui_auxilio_residencia_moradia,faixa_salarial,idade,faixa_etaria
a2b5339caf4ea54ef4c904f25feb89ef,M,1995-09-17,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,VESTIBULAR,2013,1.0,F,57564849,92127264.0,1.0,8.0,F,7.1,0.0,APROVADO,2015,2,3000.0,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F,MAIOR_QUE_2000_ATE_3000,22,MAIOR_QUE_20_ATE_25
40846f2f09da1435f6eb303ce9d0d768,M,1985-03-12,NEGRO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,IGAPO,GRADUACAO,VESTIBULAR,2013,1.0,F,57566733,92127264.0,1.0,2.0,T,5.0,8.0,APROVADO_POR_NOTA,2015,2,2500.0,PARTE_EM_ESCOLA_PUBLICA_PARTE_EM_ESCOLA_PARTICULAR_,T,F,F,F,MAIOR_QUE_2000_ATE_3000,32,MAIOR_QUE_25_ATE_35
0188fee9f69676d5d450513676ffa20f,M,1994-02-18,BRANCO,RIO_GRANDE_DO_NORTE,OURO_BRANCO,RIO_GRANDE_DO_NORTE,OURO_BRANCO,CENTRO,GRADUACAO,VESTIBULAR,2013,1.0,F,57567587,92127264.0,1.0,7.2,F,6.8,8.0,APROVADO_POR_NOTA,2015,2,3200.0,TODO_EM_ESCOLA_PUBLICA_,F,T,F,T,MAIOR_QUE_3000_ATE_4000,23,MAIOR_QUE_20_ATE_25
dcb8f294bee8769bdfec88486911362f,M,1993-04-03,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,DIX_SEPT_ROSADO,GRADUACAO,VESTIBULAR,2013,1.0,F,57564861,92127264.0,1.0,1.0,F,1.3,38.0,REPROVADO_POR_MEDIA_E_POR_FALTAS,2015,2,1400.0,TODO_EM_ESCOLA_PUBLICA_,F,F,F,F,MAIOR_QUE_1000_ATE_2000,24,MAIOR_QUE_20_ATE_25
f32c342b30e30053a2624f5d981385d1,M,1988-03-30,BRANCO,RIO_GRANDE_DO_NORTE,SANTA_CRUZ,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_NOVA,GRADUACAO,VESTIBULAR,2013,1.0,T,57564849,92127264.0,1.0,6.4,F,4.8,6.0,REPROVADO,2015,2,2496.0,TODO_EM_ESCOLA_PUBLICA_,F,T,F,T,MAIOR_QUE_2000_ATE_3000,29,MAIOR_QUE_25_ATE_35
53890acbe28162acd131b308656482fc,M,1991-07-27,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_AZUL,GRADUACAO,VESTIBULAR,2013,1.0,F,57565140,92127264.0,1.0,8.5,F,6.6,18.0,APROVADO_POR_NOTA,2015,2,1448.0,PARTE_EM_ESCOLA_PUBLICA_PARTE_EM_ESCOLA_PARTICULAR_,F,T,F,F,MAIOR_QUE_1000_ATE_2000,26,MAIOR_QUE_25_ATE_35
69d022c2924a232b8a0ca9e0ac7da317,M,1992-09-08,PARDO,RIO_GRANDE_DO_NORTE,NATAL,NAO_INFORMADO,NAO_INFORMADO,NAO_INFORMADO,GRADUACAO,VESTIBULAR,2013,1.0,F,57566698,92127264.0,1.0,0.9,F,0.9,0.0,REPROVADO,2015,2,650.0,PARTE_EM_ESCOLA_PUBLICA_PARTE_EM_ESCOLA_PARTICULAR_,F,T,F,F,ATE_1000_REAIS,25,MAIOR_QUE_20_ATE_25
9b03275cfc98def4ebace9f3a04bdc7c,M,1995-05-30,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,VESTIBULAR,2013,1.0,F,57564849,92127264.0,1.0,7.1,F,5.6,0.0,APROVADO_POR_NOTA,2015,2,1850.0,EM_ESCOLA_PARTICULAR_COM_BOLSA_,F,T,F,F,MAIOR_QUE_1000_ATE_2000,22,MAIOR_QUE_20_ATE_25
a70e6e000686d82ad1d1a29ce75fab9f,M,1995-01-08,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PAJUCARA,GRADUACAO,VESTIBULAR,2013,1.0,F,57564849,92127264.0,1.0,9.1,F,9.1,4.0,APROVADO,2015,2,1000.0,TODO_EM_ESCOLA_PUBLICA_,T,F,F,F,ATE_1000_REAIS,22,MAIOR_QUE_20_ATE_25
25d2bd21cd76c59793f8a006c03cf6b9,M,1995-05-22,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,POTENGI,GRADUACAO,VESTIBULAR,2013,1.0,F,57566724,92127264.0,1.0,6.6,F,6.0,0.0,APROVADO_POR_NOTA,2015,2,800.0,PARTE_EM_ESCOLA_PUBLICA_PARTE_EM_ESCOLA_PARTICULAR_,F,T,F,F,ATE_1000_REAIS,22,MAIOR_QUE_20_ATE_25
7e0c9d37a5d96aaf03233f4f8cb31608,M,1988-11-05,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,CAPIM_MACIO,GRADUACAO,VESTIBULAR,2013,1.0,F,57565140,92127264.0,1.0,8.5,F,8.6,12.0,APROVADO,2015,2,2200.0,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F,MAIOR_QUE_2000_ATE_3000,29,MAIOR_QUE_25_ATE_35
3be0a9d02f52ad9e368b82c93f60bb59,M,1987-11-13,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,CAPIM_MACIO,GRADUACAO,VESTIBULAR,2013,1.0,F,57565081,92127264.0,1.0,6.7,F,7.2,18.0,APROVADO,2015,2,8000.0,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F,MAIOR_QUE_4000,30,MAIOR_QUE_25_ATE_35
469b4e52f0fc039742f0d6f50587fd02,M,1995-04-18,PARDO,RIO_GRANDE_DO_NORTE,SANTO_ANTONIO,RIO_GRANDE_DO_NORTE,SANTO_ANTONIO,CENTRO,GRADUACAO,VESTIBULAR,2013,1.0,F,57565081,92127264.0,1.0,4.5,F,5.0,14.0,APROVADO_POR_NOTA,2015,2,724.0,TODO_EM_ESCOLA_PARTICULAR_,F,T,F,T,ATE_1000_REAIS,22,MAIOR_QUE_20_ATE_25
606187e0dfc21c1f377ad6df3a68e274,M,1995-01-20,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,CANDELARIA,GRADUACAO,VESTIBULAR,2013,1.0,F,57564841,92127264.0,1.0,8.8,F,8.3,0.0,APROVADO,2015,2,3152.0,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F,MAIOR_QUE_3000_ATE_4000,22,MAIOR_QUE_20_ATE_25
aeee701ac738fecb98159eefef6d6638,M,1992-11-28,BRANCO,SAO_PAULO,NATAL,RIO_GRANDE_DO_NORTE,PARNAMIRIM,ROSA_DOS_VENTOS,GRADUACAO,VESTIBULAR,2013,1.0,F,57564861,92127264.0,1.0,4.5,F,1.8,23.0,REPROVADO,2015,2,2500.0,TODO_EM_ESCOLA_PUBLICA_,F,F,F,F,MAIOR_QUE_2000_ATE_3000,25,MAIOR_QUE_20_ATE_25
83729736aa539851727de8ecb2c3529a,M,1996-04-18,PARDO,RIO_GRANDE_DO_NORTE,MOSSORO,RIO_GRANDE_DO_NORTE,NATAL,CANDELARIA,GRADUACAO,VESTIBULAR,2013,1.0,F,57564850,92127264.0,1.0,7.5,F,6.7,2.0,APROVADO_POR_NOTA,2015,2,2500.0,TODO_EM_ESCOLA_PARTICULAR_,T,F,F,F,MAIOR_QUE_2000_ATE_3000,21,MAIOR_QUE_20_ATE_25
